id,name,category,risk_score
48ac89a9-966d-43a8-ace0-cc95bf494763,"May, Vasquez and Hood",Entertainment,0.20806645184612454
2501a840-394f-4a90-8c68-e2de4379056d,Young Ltd,Health/Fitness,0.3226146309319936
13bc2097-de25-478a-949d-959cb87e5753,Gomez Group,Grocery,0.11555119906202149
e11a6951-3e3f-47d8-9f43-9a19cc037c68,"Morales, Tate and Thompson",Gas/Transport,0.1210724916411295
d53460ea-dde8-43ac-bde8-c06507ffae0d,"Lewis, Randall and Fitzgerald",Online/Retail,0.8566793198798901
7b41ced7-bfa8-4c63-96b8-ae477c9c2d5f,Walter LLC,Grocery,0.03851950062476146
4b7a7709-5c76-4d2c-844b-6f09b5524333,"Fisher, Cortez and Lindsey",Health/Fitness,0.2910880296109173
e25be6e8-df67-430e-a5ca-e15ffabbce0f,Chavez Group,Health/Fitness,0.27387326474994034
d5cab5bb-2cac-4729-aa7f-0a2c75e6a21a,Avery-Smith,Gas/Transport,0.10344257359176047
00fb52c6-f5f4-4a9f-b632-194f24d1efba,Palmer-Nelson,Food/Dining,0.13683340768329288
3aadf95e-14f8-4160-bdd7-9d48a19a090c,Robertson LLC,Grocery,0.015998695583776118
c09216c8-6474-4c62-a324-59bd889e8585,"Hancock, Edwards and Gonzales",Food/Dining,0.13785406771455036
54c1c488-23bb-4fe0-ab65-ea64cedcd718,Gates LLC,Online/Retail,0.7860881663941006
66406850-e446-45bd-91ce-8448e6bd5be5,"Arroyo, Trevino and Owens",Online/Retail,0.5301903843115183
306abda4-ae54-4d96-8cc5-dc8a6a30e057,"Brown, Jackson and Moreno",Travel,0.6890248501112977
33b39c96-1215-4031-8b29-2bba1cd01495,Collier and Sons,Online/Retail,0.5254400592222283
358a7624-1c23-44b7-a3a1-810ad1ce4874,"Marshall, Vincent and Massey",Entertainment,0.27471510121793474
b045758a-b2b2-401b-bdd6-455fd3824036,Leonard Group,Home/Utilities,0.016026678066282274
b86a01da-b007-4546-937e-ab97a0a347c3,"Davenport, Henry and Brown",Home/Utilities,0.023594674311828392
0f2b9a86-d023-462e-9856-9e1fd2f22bb3,"Vance, Hogan and Park",Food/Dining,0.14077599009612013
26c846a8-0e6d-480c-88c6-84790af694f4,Brown PLC,Health/Fitness,0.24481401860199803
98b288a4-5d37-46ba-9544-ba575c63e03b,Trevino PLC,Entertainment,0.38791174369487524
dc5f0dd3-2f02-4955-b3ca-83373c3ca733,"Wolfe, Johnson and Bautista",Travel,0.537829341096132
e2ef22fa-fbf7-4775-8a36-f51f5c68d6d1,"Henry, Scott and Johnson",Grocery,0.03645659410974341
9434dbed-350b-4668-80d6-5ec0787fd34f,Scott LLC,Grocery,0.08940847390553526
53bb76dd-2210-4ba3-a3c1-da10b9789781,Mullen LLC,Grocery,0.08378564924168581
ff5e3a5b-1be9-481b-a747-f82a03b4bdb9,Ramirez Inc,Home/Utilities,0.04788280719876132
48fcf7a0-0dee-4b6a-8669-0c395a02720b,Reid-Perez,Food/Dining,0.13278858792645928
64be4627-f6d9-4fe6-88bf-72f5929d0907,Fields Ltd,Travel,0.7019993186833564
5eb194bb-b5be-4148-b42c-6c82513149cf,Fernandez-Clark,Gas/Transport,0.12503164629397476
9cc68ec3-f473-49c1-8533-2e27936fb99c,Rodriguez Group,Online/Retail,0.5712498960478377
25767c9a-94ed-4147-994c-21efccb9e7bf,"Green, Whitehead and Ramirez",Food/Dining,0.17433350232629474
2a6837eb-c152-4255-b258-f17807672fcf,"Alvarez, Clayton and Garcia",Entertainment,0.23899004192546489
0427bbed-5e7a-4d88-be29-b721ddcc6ddb,Cook PLC,Travel,0.5012108476320519
